model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_colsample_bytree,param_learning_rate,param_reg_alpha,param_reg_lambda,param_subsample,param_depth,param_iterations,param_l2_leaf_reg
CatBoostClassifier,0.07312192916870117,0.01424210191889151,0.005261945724487305,0.0023950864574525743,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 5, 'learning_rate': 0.01, 'subsample': 0.8}",0.45652173913043476,0.5038420436619001,0.45652173913043476,0.4801414015387815,0.48172065965736244,0.47574951662378273,0.017796337445040847,150,0.49360154622486324,0.5113656841292316,0.48141645588454096,0.5060889929742389,0.5114111218257795,0.5007767602077309,0.011659672834096014,,,,,,,0.01,,,0.8,6.0,100.0,5.0
CatBoostClassifier,0.07673048973083496,0.010094203193858751,0.005295848846435547,0.0027320320317572775,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 5, 'learning_rate': 0.01, 'subsample': 1.0}",0.45652173913043476,0.4819065837717201,0.45652173913043476,0.4553376906318083,0.48172065965736244,0.4664016824643521,0.012591358168399656,155,0.46894568796910785,0.49959016393442623,0.487544062713737,0.4941140106276635,0.5114111218257795,0.4923210094141428,0.014069205557653914,,,,,,,0.01,,,1.0,6.0,100.0,5.0
CatBoostClassifier,0.0779686450958252,0.010544812509316765,0.003651714324951172,0.0012483514894052114,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 5, 'learning_rate': 0.05, 'subsample': 0.8}",0.6136675824175823,0.609556371617914,0.5890282278897186,0.5588035657722069,0.5388888888888889,0.5819889273172622,0.029011126242482043,96,0.739497903671132,0.778941993215723,0.7285866946804078,0.7501395818859344,0.7555646456685057,0.7505461638243405,0.016946716102027918,,,,,,,0.05,,,0.8,6.0,100.0,5.0
CatBoostClassifier,0.07190780639648438,0.01760302289924117,0.002795886993408203,0.0011368004505788092,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 5, 'learning_rate': 0.05, 'subsample': 1.0}",0.5922046703296703,0.5707417582417582,0.5890282278897186,0.5390855457227138,0.5653630230693023,0.5712846450506326,0.019103007722080245,104,0.7285866946804078,0.7870225013082156,0.7430745294957947,0.7446057879128745,0.7571205007824726,0.7520820028359531,0.01967375290035443,,,,,,,0.05,,,1.0,6.0,100.0,5.0
CatBoostClassifier,0.08428010940551758,0.012756837989142083,0.004465579986572266,0.0010998071000919401,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 5, 'learning_rate': 0.1, 'subsample': 0.8}",0.5812053115423902,0.6055472512871616,0.6629213483146068,0.5523822000960741,0.6093703625185499,0.6022852947517565,0.036530135739405466,75,0.8682150772153234,0.8861602103629105,0.8811169746655503,0.8726079079748126,0.8911556495553388,0.8798511639547872,0.008450574061307035,,,,,,,0.1,,,0.8,6.0,100.0,5.0
CatBoostClassifier,0.07284202575683593,0.014553131801298056,0.003077793121337891,0.0015315897912679362,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 5, 'learning_rate': 0.1, 'subsample': 1.0}",0.6016343207354443,0.6179214929214929,0.6444444444444444,0.5922046703296703,0.5998214285714285,0.6112052714004961,0.01861272721235163,51,0.860264519838988,0.9104317964307831,0.8760073599059326,0.8803579788566016,0.893620642701525,0.884136459546766,0.01692112971799043,,,,,,,0.1,,,1.0,6.0,100.0,5.0
CatBoostClassifier,0.1433178424835205,0.011020691893013653,0.004164361953735351,0.000496185886587537,,"{'depth': 6, 'iterations': 200, 'l2_leaf_reg': 1, 'learning_rate': 0.01, 'subsample': 0.8}",0.47839804590097196,0.5814290239377348,0.5292860414228283,0.5265151515151515,0.5291081012011244,0.5289472727955621,0.032605565127662425,125,0.6300690367861295,0.6610734149054505,0.639139895046717,0.6403353372802707,0.6941535027472527,0.652954237353164,0.022965650918451524,,,,,,,0.01,,,0.8,6.0,200.0,1.0
CatBoostClassifier,0.13911638259887696,0.018926253583370183,0.003826618194580078,0.0012586757058667799,,"{'depth': 6, 'iterations': 200, 'l2_leaf_reg': 1, 'learning_rate': 0.01, 'subsample': 1.0}",0.4993894993894994,0.5814290239377348,0.5292860414228283,0.5238095238095238,0.5291081012011244,0.5326044379521421,0.026786783985252752,121,0.639139895046717,0.6737489194121602,0.6300690367861295,0.662350105167304,0.6737858116017117,0.6558187536028045,0.018045480382739072,,,,,,,0.01,,,1.0,6.0,200.0,1.0
CatBoostClassifier,0.14245738983154296,0.021899855484186274,0.004853391647338867,0.0011403360361074816,,"{'depth': 6, 'iterations': 200, 'l2_leaf_reg': 1, 'learning_rate': 0.05, 'subsample': 0.8}",0.6534790701358362,0.6294273677640818,0.6581402831402832,0.5884513106242877,0.5705415660572611,0.62000791954435,0.03494527371172814,23,0.9547697740752479,0.9731307154384078,0.9589288895588659,0.9628404238865929,0.9650881330685204,0.9629515872055269,0.006185725495765907,,,,,,,0.05,,,0.8,6.0,200.0,1.0
CatBoostClassifier,0.1616433620452881,0.022421138723029397,0.00472865104675293,0.0004915824463915577,,"{'depth': 6, 'iterations': 200, 'l2_leaf_reg': 1, 'learning_rate': 0.05, 'subsample': 1.0}",0.6263079222720478,0.6179214929214929,0.6534790701358362,0.5960522293549937,0.5775892857142857,0.6142700000797312,0.025972901731938836,43,0.946310100819093,0.9751159702702237,0.9650818678928726,0.9607773851590107,0.9630487503670815,0.9620668149016562,0.009276549631969664,,,,,,,0.05,,,1.0,6.0,200.0,1.0
